qid,n_tables,oracle_cost,pt_regret_lin,is_trivial_oracle,t3_idx_0.01,t3_regret_0.01,t3_q_0.01,t3_idx_0.05,t3_regret_0.05,t3_q_0.05,t3_idx_0.1,t3_regret_0.1,t3_q_0.1,t3_idx_0.2,t3_regret_0.2,t3_q_0.2
1200,4,17316689.0,1.3823876271966524,0,0,1.3823876271966524,5.893237590789795,3,1.0,2.1777548789978027,3,1.0,1.3467788696289062,3,1.0,0.6397113800048828
1201,4,78809.0,1.2124730364166985,0,3,1.0,5.893237590789795,3,1.0,2.1777548789978027,3,1.0,1.3467788696289062,3,1.0,0.6397113800048828
1202,2,19266.0,1.0,1,0,1.0,5.893237590789795,1,3.095136762339752,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1203,3,52094.0,1.0,1,0,3.210653613590556,5.893237590789795,3,1.0,2.1777548789978027,0,3.210653613590556,1.3467788696289062,3,1.0,0.6397113800048828
1204,3,824206.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1205,3,15929818.0,1.002374917128688,0,2,1.0105495862821794,5.893237590789795,1,1.0,2.1777548789978027,2,1.0105495862821794,1.3467788696289062,2,1.0105495862821794,0.6397113800048828
1206,3,544833.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1207,5,2587448.0,1.3121340749131674,0,2,1.0,5.893237590789795,2,1.0,2.1777548789978027,2,1.0,1.3467788696289062,2,1.0,0.6397113800048828
1208,5,24773.0,1.1777670138047953,0,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1209,2,133260.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1210,2,93309.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1211,3,87604.0,1.0,1,1,2.059414416985332,5.893237590789795,2,1.0,2.1777548789978027,2,1.0,1.3467788696289062,2,1.0,0.6397113800048828
1212,4,117011.0,1.0,1,4,1.0,5.893237590789795,4,1.0,2.1777548789978027,4,1.0,1.3467788696289062,4,1.0,0.6397113800048828
1213,3,614142.0,1.0,1,1,1.0,5.893237590789795,2,1.3564300171132782,2.1777548789978027,2,1.3564300171132782,1.3467788696289062,2,1.3564300171132782,0.6397113800048828
1214,4,281341.0,1.0,1,2,1.3112510752038444,5.893237590789795,4,1.020263593775547,2.1777548789978027,2,1.3112510752038444,1.3467788696289062,4,1.020263593775547,0.6397113800048828
1215,2,750700.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1216,5,1789202.0,1.0207684650651714,0,0,1.0207684650651714,5.893237590789795,0,1.0207684650651714,2.1777548789978027,0,1.0207684650651714,1.3467788696289062,0,1.0207684650651714,0.6397113800048828
1217,5,109476.0,1.0,1,5,1.0,5.893237590789795,5,1.0,2.1777548789978027,5,1.0,1.3467788696289062,5,1.0,0.6397113800048828
