qid,n_tables,oracle_cost,pt_regret_lin,is_trivial_oracle,t3_idx_0.01,t3_regret_0.01,t3_q_0.01,t3_idx_0.05,t3_regret_0.05,t3_q_0.05,t3_idx_0.1,t3_regret_0.1,t3_q_0.1,t3_idx_0.2,t3_regret_0.2,t3_q_0.2
2000,4,1308027.0,1.2398580152718444,0,0,1.0,2.805270195007324,0,1.0,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2001,5,2366368.0,1.0,1,7,1.1550227373668265,2.805270195007324,7,1.1550227373668265,0.5120906829833984,7,1.1550227373668265,0.10433387756347656,7,1.1550227373668265,0.14715290069580078
2002,4,524623911.0,1.0,1,7,1.0,2.805270195007324,7,1.0,0.5120906829833984,7,1.0,0.10433387756347656,7,1.0,0.14715290069580078
2003,2,311862.0,1.0,1,0,1.0,2.805270195007324,0,1.0,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2004,4,67085.0,1.1537280505619651,0,2,5.0933130608472705,2.805270195007324,2,5.0933130608472705,0.5120906829833984,2,5.0933130608472705,0.10433387756347656,2,5.0933130608472705,0.14715290069580078
2005,4,134733.0,1.0,1,0,1.0,2.805270195007324,0,1.0,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2006,4,842280.0,1.0,1,5,2.3114768111829664,2.805270195007324,5,2.3114768111829664,0.5120906829833984,5,2.3114768111829664,0.10433387756347656,5,2.3114768111829664,0.14715290069580078
2007,5,157453.0,1.0,1,4,1.0,2.805270195007324,4,1.0,0.5120906829833984,4,1.0,0.10433387756347656,4,1.0,0.14715290069580078
2008,3,75844.0,1.4143714153866438,0,2,1.4143714153866438,2.805270195007324,2,1.4143714153866438,0.5120906829833984,2,1.4143714153866438,0.10433387756347656,2,1.4143714153866438,0.14715290069580078
2009,5,86111.0,1.0,1,3,4.041027963582311,2.805270195007324,3,4.041027963582311,0.5120906829833984,3,4.041027963582311,0.10433387756347656,3,4.041027963582311,0.14715290069580078
2010,5,13086003874.0,1.0012077479229693,0,5,1.0,2.805270195007324,5,1.0,0.5120906829833984,5,1.0,0.10433387756347656,5,1.0,0.14715290069580078
2011,5,4020874.0,1.0,1,3,1.0,2.805270195007324,3,1.0,0.5120906829833984,3,1.0,0.10433387756347656,3,1.0,0.14715290069580078
2012,4,204555.0,1.0,1,0,1.0,2.805270195007324,0,1.0,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2013,4,158827.0,1.0969413453547234,0,5,1.0,2.805270195007324,5,1.0,0.5120906829833984,5,1.0,0.10433387756347656,5,1.0,0.14715290069580078
2014,5,377260374.0,1.0,1,5,1.0,2.805270195007324,5,1.0,0.5120906829833984,5,1.0,0.10433387756347656,5,1.0,0.14715290069580078
2015,4,12241513.0,1.0,1,6,1.0,2.805270195007324,6,1.0,0.5120906829833984,6,1.0,0.10433387756347656,6,1.0,0.14715290069580078
2016,5,3989409.0,1.0,1,4,1.0,2.805270195007324,4,1.0,0.5120906829833984,4,1.0,0.10433387756347656,4,1.0,0.14715290069580078
2017,4,175386265.0,1.00788090784714,0,3,1.0,2.805270195007324,3,1.0,0.5120906829833984,3,1.0,0.10433387756347656,3,1.0,0.14715290069580078
2018,4,1316041.0,1.0,1,1,1.0,2.805270195007324,1,1.0,0.5120906829833984,1,1.0,0.10433387756347656,1,1.0,0.14715290069580078
2019,2,99473.0,1.0,1,0,1.0,2.805270195007324,0,1.0,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2020,5,98042475.0,1.0,1,7,1.0094035058845312,2.805270195007324,7,1.0094035058845312,0.5120906829833984,7,1.0094035058845312,0.10433387756347656,4,1.0,0.14715290069580078
